pos_stem,stem,query_type,query,expected,actual,is_match
N,балык,up,балык^сыт,балык+pos+N+deriv+ag+num+sg+case+nom,балык+pos+N+deriv+ag+num+sg+case+nom,True
N,отон,up,отон^ньут,отон+pos+N+deriv+ag+num+sg+case+nom,GUESS+отон+pos+N+deriv+ag+num+sg+case+nom,True
N,ырыа,up,ырыа^һыт,ырыа+pos+N+deriv+ag+num+sg+case+nom,GUESS+ырыа+pos+N+deriv+ag+num+sg+case+nom,True
N,от,up,от^чут,от+pos+N+deriv+ag+num+sg+case+nom,GUESS+от+pos+N+deriv+ag+num+sg+case+nom,True
N,сонор,up,сонор^дьут,сонор+pos+N+deriv+ag+num+sg+case+nom,GUESS+сонор+pos+N+deriv+ag+num+sg+case+nom,True
N,кыыл,up,кыыл^дьыт,кыыл+pos+N+deriv+ag+num+sg+case+nom,GUESS+кыыл+pos+N+deriv+ag+num+sg+case+nom,True
N,таба,up,таба^лара,"таба+pos+N+num+pl+case+nom+poss+3pl
таба+pos+N+num+sg+case+nom+poss+3pl","таба+pos+N+num+sg+case+nom+poss+3pl
таба+pos+N+num+pl+case+nom+poss+3pl",False
N,халва,up,халва^лара,"GUESS+халва+pos+N+num+pl+case+nom+poss+3pl
GUESS+халва+pos+N+num+sg+case+nom+poss+3pl","GUESS+халва+pos+N+num+sg+case+nom+poss+3pl
GUESS+халва+pos+N+num+pl+case+nom+poss+3pl",False
N,таба,up,таба^ны,таба+pos+N+num+sg+case+acc,таба+pos+N+num+sg+case+acc,True
N,халва,up,халва^ны,GUESS+халва+pos+N+num+sg+case+acc,GUESS+халва+pos+N+num+sg+case+acc,True
N,балык,down,балык+pos+N+num+sg+case+acc,балыг^ы,балыг^ы,True
V,диэ,down,GUESS+диэ+pos+V+tense+pres+num+sg+pers+3,д^иир,д^иир,True
